Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 3,3184,F'c,HORA,14,45863,14:39,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50240,62230,,
Planta 3,3188,F'c,HORA,14,45863,18:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,35430,46580,,
Planta 3,3189,F'c,HORA,14,45864,12:45,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60820,61830,,
Planta 3,3193,F'c,HORA,14,45864,16:34,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,63490,66580,,
Planta 3,3197,F'c,HORA,14,45864,17:29,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,61480,62350,,
Planta 3,3202,F'c,HORA,14,45864,18:29,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60380,61560,,
Planta 3,3206,F'c,HORA,14,45864,19:18,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,63540,64370,,
Planta 3,3210,F'c,HORA,24,45866,6:08,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,31720,38210,,
Planta 3,3215,F'c,HORA,14,45866,20:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49310,60440,,
Planta 3,3219,F'c,HORA,14,45866,21:43,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50940,60480,,
Planta 3,3223,F'c,HORA,14,45866,22:45,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48070,60550,,
Planta 3,3227,F'c,HORA,14,45867,17:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48790,62350,,
Planta 3,3234,F'c,HORA,14,45867,22:27,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,47790,61450,,
Planta 3,3235,F'c,HORA,14,45867,16:42,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50880,59280,,
Planta 3,3241,F'c,HORA,14,45868,17:53,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50490,61280,,
Planta 3,3246,F'c,HORA,14,45868,20:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49750,63220,,
Planta 3,3251,F'c,HORA,14,45869,16:36,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49830,62850,,
Planta 3,3255,F'c,HORA,14,45869,17:30,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49510,61380,,
Planta 3,3259,F'c,HORA,14,45869,18:51,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50740,63540,,
Planta 3,3265,F'c,HORA,14,45870,14:08,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,51090,65380,,
Planta 3,3272,F'c,HORA,14,45870,20:07,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49290,61280,,
Planta 3,3277,F'c,HORA,14,45870,23:37,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48010,64350,,
Planta 3,3282,F'c,HORA,14,45871,12:46,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49580,62560,,
Planta 3,3287,F'c,HORA,14,45871,15:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,35350,46380,,
Planta 3,3289,F'c,HORA,14,45872,12:42,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,59530,66990,,
Planta 3,3298,F'c,HORA,14,45872,15:20,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,47850,60070,,
Planta 3,3301,F'c,HORA,14,45873,16:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,,,,
Planta 3,3307,F'c,HORA,14,45873,18:23,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,,,,
Planta 3,3311,F'c,HORA,14,45873,20:16,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,,,,
