Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4
Planta 2,8445,F'c,DÍA,3,45865,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2343,26,27,1,1,3,3
Planta 2,8452,F'c,DÍA,3,45865,18:03,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,22,2351,25,27,1,1,3,3
Planta 2,8470,F'c,HORA,3,45866,17:50,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2347,26,28,0,0,1,1
Planta 2,8488,F'c,DÍA,28,45867,13:19,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,25,2361,25,29,7,14,28,28
Planta 2,8531,F'c,DÍA,28,45870,18:38,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2343,25,27,7,14,28,28
Planta 2,8538,F'c,DÍA,3,45870,18:21,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2333,22,27,1,1,3,3
Planta 2,8548,F'c,DÍA,28,45870,20:53,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,24,2341,20,26,7,14,28,28
Planta 2,8552,F'c,DÍA,3,45871,18:38,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2337,22,26,1,1,3,3
Planta 2,8566,F'c,DÍA,28,45872,00:37,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2345,20,24,7,14,28,28
Planta 2,8579,F'c,DÍA,28,45873,15:32,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,24,2347,25,29,7,14,28,28
Planta 2,8596,F'c,DÍA,28,45874,00:16,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2351,23,28,7,14,28,28
Planta 2,8610,F'c,DÍA,3,45874,11:12,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2328,24,29,1,1,3,3
Planta 2,8616,F'c,DÍA,28,45874,12:24,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,61,2342,24,28,7,14,28,28
Planta 2,8636,F'c,DÍA,28,45874,16:15,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2348,24,28,7,14,28,28
Planta 2,8659,F'c,DÍA,3,45875,16:53,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,24,2342,31,29,1,1,3,3
Planta 2,8691,F'c,HORA,28,45876,16:09,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2342,32,30,0,0,1,1
Planta 2,8695,F'c,HORA,28,45876,21:11,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2364,28,29,0,0,1,1
Planta 2,8705,F'c,DÍA,28,45877,15:25,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2328,35,29,7,14,28,28
Planta 2,8718,F'c,DÍA,28,45878,8:35,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2364,24,27,7,14,28,28
Planta 2,8727,F'c,DÍA,28,45880,8:37,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2332,32,28,7,14,28,28
