Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4
Planta 3,3202,F'c,HORA,14,45864,18:29,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2399,32,30,0,0,1,1
Planta 3,3206,F'c,HORA,14,45864,19:18,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2399,29,30,0,0,1,1
Planta 3,3210,F'c,HORA,24,45866,6:08,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2399,37,34.3,0,0,1,1
Planta 3,3215,F'c,HORA,14,45866,20:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2401,37,34.1,0,0,1,1
Planta 3,3219,F'c,HORA,14,45866,21:43,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2399,27,29.4,0,0,1,1
Planta 3,3223,F'c,HORA,14,45866,22:45,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2403,25,28.4,0,0,1,1
Planta 3,3227,F'c,HORA,14,45867,17:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2409,30,33.4,0,0,1,1
Planta 3,3234,F'c,HORA,14,45867,22:27,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2409,23,26.3,0,0,1,1
Planta 3,3235,F'c,HORA,14,45867,16:42,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2399,34,32.5,0,0,1,1
Planta 3,3241,F'c,HORA,14,45868,17:53,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2389,33,32.4,0,0,1,1
Planta 3,3246,F'c,HORA,14,45868,20:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,73,2389,29,28,0,0,1,1
Planta 3,3251,F'c,HORA,14,45869,16:36,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2419,35,33.8,0,0,1,1
Planta 3,3255,F'c,HORA,14,45869,17:30,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2399,35,33.6,0,0,1,1
Planta 3,3259,F'c,HORA,14,45869,18:51,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2409,30,29.7,0,0,1,1
Planta 3,3265,F'c,HORA,14,45870,14:08,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399,35,34.4,0,0,1,1
Planta 3,3272,F'c,HORA,14,45870,20:07,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2409,28,27,0,0,1,1
Planta 3,3277,F'c,HORA,14,45870,23:37,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399,23,23,0,0,1,1
Planta 3,3282,F'c,HORA,14,45871,12:46,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2399,36,34.8,0,0,1,1
Planta 3,3287,F'c,HORA,14,45871,15:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2389,34,,0,0,1,1
Planta 3,3289,F'c,HORA,14,45872,12:42,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2401,37,35.5,0,0,1,1
Planta 3,3298,F'c,HORA,14,45872,15:20,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2405,37,35,0,0,1,1
Planta 3,3301,F'c,HORA,14,45873,16:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2419,33,32.8,0,0,1,1
Planta 3,3307,F'c,HORA,14,45873,18:23,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2415,30,31,0,0,1,1
Planta 3,3311,F'c,HORA,14,45873,20:16,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2389,29,28.8,0,0,1,1
